counter_name,code_item,magazijn,winkel,total,current_inventory,difference,count_date,location,deposit_id,rack_id,boxqty,boxunitqty,boxunittotal,remarks
VICTORIA,1938,7,0,7,0,0,29-01-2026,,2,16,0,1,0,VICTORIA D2
VICTORIA,1937,3,0,3,0,0,29-01-2026,,2,16,0,1,0,VICTORIA D2
VICTORIA,1936,3,0,3,0,0,29-01-2026,,2,16,0,1,0,VICTORIA D2
VICTORIA,1935,23,0,23,0,0,29-01-2026,,2,16,0,1,0,VICTORIA D2
VICTORIA,1934,20,0,20,0,0,29-01-2026,,2,16,0,1,0,VICTORIA D2
VICTORIA,1933,5,0,5,0,0,29-01-2026,,2,16,0,1,0,VICTORIA D2
VICTORIA,1954,3,0,3,0,0,29-01-2026,,2,16,0,1,0,VICTORIA D2
VICTORIA,1955,16,0,16,0,0,29-01-2026,,2,16,0,1,0,VICTORIA D2
VICTORIA,1959,3,0,3,0,0,29-01-2026,,2,16,0,1,0,VICTORIA D2
VICTORIA,1995,2,0,2,0,0,29-01-2026,,2,16,0,1,0,VICTORIA D2
VICTORIA,1957,4,0,4,0,0,29-01-2026,,2,16,0,1,0,VICTORIA D2
VICTORIA,1959,1,0,1,0,0,29-01-2026,,2,16,0,1,0,VICTORIA D2
VICTORIA,1960,2,0,2,0,0,29-01-2026,,2,16,0,1,0,VICTORIA D2
VICTORIA,15144,21,0,21,0,0,30-01-2026,,3,26,0,1,0,VICTORIA D3
VICTORIA,15145,12,0,12,0,0,30-01-2026,,3,26,0,1,0,VICTORIA D3
VICTORIA,7052,2,0,2,0,0,30-01-2026,,3,26,0,1,0,VICTORIA D3
VICTORIA,7051,37,0,37,0,0,30-01-2026,,3,26,0,1,0,VICTORIA D3
VICTORIA,0615,1325,0,1325,0,0,30-01-2026,,3,21,0,1,0,VICTORIA D3
VICTORIA,0614,950,0,950,0,0,30-01-2026,,3,21,0,1,0,VICTORIA D3
VICTORIA,0613,875,0,875,0,0,30-01-2026,,3,21,0,1,0,VICTORIA D3
VICTORIA,0612,477,0,477,0,0,30-01-2026,,3,21,0,1,0,VICTORIA D3
VICTORIA,0611,1300,0,1300,0,0,30-01-2026,,3,21,0,1,0,VICTORIA D3
VICTORIA,0610,500,0,500,0,0,30-01-2026,,3,21,0,1,0,VICTORIA D3
VICTORIA,0577,220,0,220,0,0,30-01-2026,,3,31,0,1,0,VICTORIA D3
VICTORIA,0575,100,0,100,0,0,30-01-2026,,3,31,0,1,0,VICTORIA D3
