code_item,description_item,total
0997,6 OUTLET 1146W-SP,9
0998,3 OUTLET 1192W-SP,56
1000,SCHAK AM WIS  DUB 276W,243
1001,5 BTTN  TIMER 127V PT18M-W,10
1002,SCHAK AM ENK POL 271W,193
1005,SCHAK AM WIS INB         1303W,98
1008,SCHAK AM DUB DECO       7728W,88
1009,SCHAK AM TRI DECO        7729W,388
10090,SCHAK DUB  WISSEL DECO 7731W,128
10092,SCHAK AM KRS DECO        7504W,41
10093,SCHAK AM ENK-WIS 7732W,114
1010,DIMMER SCHUIF  SI061W / 6422,271
10100,UNIV DEC DIMMER LED DUL 06,5
10101,DIMMER  WISS SI06P-W /SUL06P-W,122
1012,SCHAK AM WIS            923V,12
1014,SCHAK  2P 30A      3032 FW,24
1015,SCHAK DECO COMB &WCD 7730W,240
1016,SCHAK AM WIS DECO        6303V,3
1018,DIMMER 1000W             1000,36
1019,DIMMER SCHUIF DUB LEV6628W,49
1020,COM SCHAK & WCD 127v -TR274W,84
1021,WCD AM INB D R/A DEC  1107W,207
1023,WCD AM INB D 220V DEC 6662W,1
1024,WCD AM INB DUB  R/A       270W,233
1025,WCD AM INB EN 220V R/A 1876W,156
1026,USB Charging station 7750W,66
1027,WCD AM INB AARDL BEVXGF15,65
1028,WCD AM INB 127 ENK DEC TR6250W,78
1029,WCD AM INB 127 ENK LED TR7735W,5
1030,WCD AM OPB DUB R/A         78W,1007
1031,WCD AM INB ENK USB PORT TR7740,185
1032,FAN/DIM COMB SDC15-W,14
1033,FAN CNTL SLD 3-WAY SFS15P-W,19
1034,WCD AM INB DUB R/A DEC 1107V,500
1036,WCD AM INB 220V R/A     1876V,1036
1038,WCD AM OPB DUB R/A         78V,2045
1039,WCD AM OPB DUB 220V R/A  74V,304
1100,WALLPLATE AM SW (INB) 2134W,373
1101,WALLPLATE AM ENK SW  2951WDISC,39
1102,WALLPLATE AM DUB SW 2952W DISC,36
1103,WALLPLATE AM TRI SW   2953W,215
1104,WALLPLATE AM BLD         2129W,50
1105,WALLPLATE AM BLD 2G  2037W,50
1106,WALLPLATE AM ENK RP  2131W,292
1107,WALLPLATE AM DUB RP 2132W,150
1108,WALLPLATE AM D RP 2-V  2150W,104
1109,WALLPLATE AM DECO 2151W,130
1110,WALLPLATE AM DECO 2-V 2152W,43
11101,WALLPLATE DECO BLIND 2160W,500
111010,WALLPL AM ASPIRE 2-V 9522WS,4
111011,WALLPL AM ASPIRE 3-V 9523WS,53
111012,WALLPL AM ASPIRE 4-V 9524WS,27
111013,WALLPL AM ASPIRE 5-V 9525WS,2
11102,DECO TEL CONN  3560-4W,105
11103,DECO COAX CONN 2162W,100
11107,WALLPLATE AM DECO 4-V 2164W,40
11108,WALLPLATE AM DECO 5-V 2165W,46
1111,WALLPLATE AM TELPH. C 3532-4W,210
1112,WALLPLATE AM COAX C 1172W,139
1113,DECO AM PHON/ANTENE 3562W,90
1114,WALLPLATE AM SW (INB)    2134V,125
1115,WALLPLATE AM ENK SW  951V,105
1116,WALLPLATE AM DUB SW   952V,71
1117,WALLPLATE AM TRI SW       953V,282
1118,WALLPLATE AM BLD        2129V,53
1119,WALLPLATE AM BLD 2G     2037V,150
1120,WALLPLATE AM ENK RP 2131V,444
1121,WALLPLATE AM DUB RP 2132V,206
1122,WALLPLATE AM D RP 2-V  2150V,77
1123,WALLPLATE AM DECO        2151V,150
1126,WALLPLATE AM DUB WD S1962 W-SP,109
1127,WALLPLATE AM DUB WD S2966 W-SP,279
1128,WALLPLATE AM DUB WD S2962 W-SP,251
1131,WALLPLATE AM DUB WD  S1962,112
