id,code_item,description_item,boxqty,boxunitqty,boxunittotal,magazijn,winkel,total,current_inventory,difference,updated_date,sales_qty,purchasing_qty
3016,0418,PERSKABELSCHOEN 95  mm  M12,2,20,40,7,0,47,28,-19,2026-02-17T18:02:59.718311,,
3017,0419,PERSKABELSCHOEN 120 mm  M12,0,1,0,251,0,251,251,0,2026-02-17T18:02:59.718311,,
3018,0421,PERSKABELSCHOEN  240 mm M12,10,2,10,15,0,25,196,171,2026-02-17T18:02:59.718311,,
3019,0424,VERBINDINGSBUS  2.5 mm,37,200,3700,43,0,3743,3766,23,2026-02-17T18:02:59.718311,,
3020,0425,VERBINDINGSBUS  4 mm,22,200,2200,4,0,2204,2200,-4,2026-02-17T18:02:59.718311,,
3021,0426,VERBINDINGSBUS  6 mm,24,200,2400,76,0,2476,2479,3,2026-02-17T18:02:59.718311,,
3022,0427,VERBINDINGSBUS 10 mm,29,200,2900,537,0,3437,3431,-6,2026-02-17T18:02:59.718311,,
3023,0428,VERBINDINGSBUS 16 mm,4,200,400,49,0,449,2663,2214,2026-02-17T18:02:59.718311,,
3024,0429,VERBINDINGSBUS 25 mm,39,100,1950,70,0,2020,2036,16,2026-02-17T18:02:59.718311,,
3025,0430,VERBINDINGSBUS 35 mm,17,100,850,49,0,899,899,0,2026-02-17T18:02:59.718311,,
3026,0431,VERBINDINGSBUS 50 mm,43,20,860,40,0,900,902,2,2026-02-17T18:02:59.718311,,
3027,0432,VERBINDINGSBUS 70 mm,7,20,140,45,0,185,187,2,2026-02-17T18:02:59.718311,,
3028,0433,VERBINDINGSBUS 95 mm,9,20,180,17,0,197,197,0,2026-02-17T18:02:59.718311,,
3029,04331,VERBINDINGSBUS 120 mm,21,29,200,9,0,209,229,20,2026-02-17T18:02:59.718311,,
3030,04332,VERBINDINGSBUS 240 mm,0,0,0,6,0,6,231,225,2026-02-17T18:02:59.718311,,
3031,0434,PERSKABELSCHOEN  6  mm  M8,26,100,2600,0,0,2600,3030,430,2026-02-17T18:02:59.718311,,
3032,0435,PERSKABELSCHOEN  10  mm  M8,26,200,2600,7,0,2607,2603,-4,2026-02-17T18:02:59.718311,,
