code_item,description_item,current_inventory
0459                ,A280 BARNICOL GIETMOF CPL     ,0
0460                ,A370 BARNICOL GIETMOF CPL     ,0
0461                ,A470 BARNICOL GIETMOF CPL     ,0
0462                ,BARNICOL GIETHARS A           ,0
0463                ,BARNICOL GIETHARS B           ,0
0464                ,BARNICOL GIETHARS C           ,0
0465                ,RAYTECH MAGICGEL 150ML HARDER ,0
0466                ,RAYTECH MAGICGEL 500ML HARDER ,0
0467                ,ATTEMA  GIETMOF PAKKET 2511   ,0
0468                ,CP-10 PIN PERSKABELSCHOEN 10MM,0
0469                ,CP-16 PIN PERSKABELSCHOEN 16MM,0
0470                ,CP-25 PIN PERSKABELSCHOEN 25MM,0
0471                ,CP-35 PIN PERSKABELSCHOEN 35MM,0
0472                ,CP-50 PIN PERSKABELSCHOEN 50MM,0
0473                ,PERSKABELSCHOEN SMALL 70-10MM ,0
0474                ,PERSKABELSCHOEN SMALL 95-10MM ,0
0475                ,PERSKABELSCHOEN SMALL 120-10MM,0
0476                ,PERSKABELSCHOEN SMALL 240-10MM,0
0477                ,PERSKABELSCHOEN SMALL 240-12MM,0
0480                ,T-DOOS              4206-D    ,0
0481                ,MIDDENDOOS DUBBEL 4207-D      ,0
0482                ,TOPDOOS DUBB RECHT 4208-D     ,0
0483                ,TOPDOOS DUBB LINKS   4209-D   ,0
0484                ,TOP T DOOS DUBB. R. 4210-D    ,0
0485                ,TOP T DOOS DUBB. L.  4211-D   ,0
0486                ,KABELDOOS 220A                ,0
0487                ,KABELDOOS 222A                ,0
0488                ,KABELDOOS 221A                ,0
0489                ,KABELDOOS 223A                ,0
04891               ,KABELDOOS J100S               ,0
0490                ,TREKDOOS                4202-D,0
0491                ,KABELDOOS 225A                ,0
0492                ,KABELDOOS 224A                ,0
0493                ,KABELDOOS EP088 (18100)       ,0
0494                ,KABELDOOS EV111(18300)        ,0
04941               ,KABEL DOOS EL161 (18800)      ,0
04942               ,KABEL DOOS EL171 (19150)      ,0
04943               ,KABEL DOOS EL322 (19750)      ,0
04944               ,KABEL DOOS GSLT171 (19805)    ,0
04945               ,KABEL DOOS GSLT231 (19905)    ,0
04946               ,KABEL DOOS GSLT322 (19965)    ,0
0495                ,EINDDOOS                4201-D,0
0499                ,VERHOGINGSRING H251           ,0
0500                ,DUBB INBOUWDOOS H251 ABB      ,0
0501                ,LASDOOS TOP T DOOS L DUBB3211 ,0
0502                ,LASDOOS TOP T  R DUBB 3210    ,0
0504                ,LASDOOS VORK TOP LINKS 3209   ,0
0505                ,CD/RV RONDE DEKSEL CENTRAL    ,0
0506                ,AD/16-19 AFSLUITSTOPBUIS 16-19,0
0509                ,LASD EIND ACHTER INV 2031 att ,0
0510                ,LASD TREK ACHTER INV 3222     ,0
0511                ,PLAFONDDOOS 97371201 GRO-2 120,0
0512                ,PLAFONDDOOS 97378101 GLAD     ,0
0513                ,INBOUWDS HOLLEWAND 16/19      ,0
0514                ,MONTAGEDEKSEL GRIJS 3640/D    ,0
0515                ,DEKSEL VOOR LASDOOS  3504     ,0
0516                ,CENTR ZIJKANT BODEM 55MM 164  ,0
0517                ,CENTR ZIJKANT BODEM 76.5MM 169,0
0518                ,CENTRAALDOOS ROND 80MM C80    ,0
0519                ,CENTRAALDOOS ROND 100MM C100  ,0
0520                ,CENTRAALD 5/8 55mm ONG 165A   ,0
0521                ,CENTRAALD 5/8 55mm GEL 165B   ,0
0522                ,CENTRAALD 5/8 75mm GEL 167B   ,0
0523                ,CENTRAALDOOS 3/4 66mm GEL 161 ,0
0524                ,CENTRDOOS ROND 12X16/19/20MM  ,0
0525                ,CENTRAALDOOS DEKSEL 3506      ,0
0526                ,MONTAGEDEKSEL+WCD3611W1       ,0
0527                ,MONTAGEDEKSEL+WCD3611W2       ,0
0528                ,MONTAGEDEKSEL+WCD3640W4       ,0
0529                ,ONDERBAK KABELDOOS 3640/1     ,0
0530                ,MONTAGEDEKSEL+WCD3640W2       ,0
0531                , UNIVERSEEL LASDOOS    3611   ,0
0532                ,BLINDDEKSEL (uni lasdoos) 3535,0
0533                ,MONTAGEDKSL (uni lasdoos) 3543,0
0534                ,INBOUWDOOS DUBB WCD H140      ,0
0535                ,GIETBOUWDOOS EURO 2x3/4 MGD50 ,0
0536                ,GIETBOUWDOOS EURO TREK 3/4 G51,0
0537                ,GIETBOUWDOOS EURO 3/4 G50     ,0
0538                ,GIETBOUWDOOS EURO 2x3/4 G52   ,0
0539                ,INZ.STK KABELDOOS3640 16mm3525,0
0540                ,INZ.STK KABELDOOS3640 19mm3529,0
0541                ,MD4050 MULTIDOOS              ,0
0542                ,MT/2X 16-19MM Inzetstuk       ,0
05421               ,MT/1X 16-19MM Inzetstuk       ,0
0543                ,VERHOGINGSRING MD4050 4MM     ,0
0544                ,VERHOGINGSRING MD4050 6MM     ,0
0545                ,SPARINGSKEGEL 3550 16MM       ,0
0546                ,SPARINGSKEGEL 3551 19MM       ,0
0547                ,PG+MOER M16                   ,0
0548                ,PG+MOER M20                   ,0
0549                ,PG+MOER M25                   ,0
0550                ,"PG 13,5 + MOER                ",0
0551                ,PG 16 + MOER                  ,0
0552                ,PG 21                         ,0
0553                ,PG 29                         ,0
0554                ,PG 36                         ,0
0555                ,PG 48                         ,0
0556                ,PG+MOER M32                   ,0
0557                ,PG+MOER M40                   ,0
0558                ,PG+MOER M50                   ,0
0559                ,PG+MOER M63                   ,0
0560                ,"MOER PG 13,5                  ",0
0561                ,MOER PG 16                    ,0
0562                ,MOER PG 21                    ,0
0563                ,MOER PG 29                    ,0
0564                ,MOER PG 36                    ,0
0565                ,MOER PG 48                    ,0
0566                ,PG 21 + MOER                  ,0
0567                ,PG 29 + MOER                  ,0
0568                ,CONEX STEEKKLEM 2-VOUDIG      ,0
0569                ,CONEX STEEKKLEM 3-VOUDIG      ,0
0570                ,CONEX STEEKKLEM 4-VOUDIG      ,0
0571                ,CONEX STEEKKLEM 5-VOUDIG      ,0
0572                ,CONEX ASSORT BOX 0.75/2.5MM   ,0
0573                ,WAGO LASKLEM 5POL             ,0
0574                ,LASDOPPEN 2-7.5 mm CONEX      ,0
0575                ,LASDOPPEN 3.0-12.5 mm         ,0
0576                ,LASDOPPEN 7.5-18.0 mm         ,0
0577                ,LASDOPPEN 12-24 mm            ,0
0580                ,KROONKLEMSTROOK 2.5-4 mm2     ,0
0581                ,KROONKLEMSTROOK  6 mm2        ,0
0582                ,KROONKLEMSTROOK  10 mm2       ,0
0583                ,KROONKLEMSTROOK  16 mm2       ,0
0584                ,KROONKLEMSTROOK  25 mm2       ,0
0600                ,PASMOER 16A                   ,0
0601                ,PASMOER 20A                   ,0
0602                ,PASMOER 25A                   ,0
0603                ,PASMOER 35A                   ,0
0604                ,PASMOER 50A                   ,0
0605                ,PASMOER 63A                   ,0
0609                ,ZEKERING 6A E14  D 01 6A      ,0
